session_id,user_id,session_date,page_views,session_duration_sec,bounced,device,channel
S000084,U0020,2023-08-29,1,46,1,tablet,organic_search
S000085,U0020,2023-07-20,2,1328,0,tablet,organic_search
S000086,U0020,2023-06-07,11,1217,0,tablet,organic_search
S000087,U0020,2023-09-28,6,478,0,tablet,organic_search
S000088,U0020,2023-11-05,5,603,0,tablet,organic_search
S000089,U0021,2023-07-14,6,996,0,mobile,organic_search
S000090,U0021,2023-08-30,3,79,0,mobile,organic_search
S000091,U0021,2023-10-06,11,264,0,mobile,organic_search
S000092,U0021,2023-06-29,10,603,0,mobile,organic_search
S000093,U0021,2023-07-14,3,560,0,mobile,organic_search
S000094,U0021,2023-09-13,1,38,1,mobile,organic_search
S000095,U0021,2023-10-28,11,1712,0,mobile,organic_search
S000096,U0022,2023-12-31,1,52,1,desktop,paid_search
S000097,U0023,2023-11-01,1,16,1,mobile,paid_search
S000098,U0023,2023-12-24,1,28,1,mobile,paid_search
S000099,U0024,2023-12-08,1,50,1,desktop,paid_search
S000100,U0024,2023-11-28,6,1792,0,desktop,paid_search
S000101,U0024,2023-11-01,1,37,1,desktop,paid_search
S000102,U0024,2023-11-30,1,31,1,desktop,paid_search
S000103,U0025,2023-12-08,4,1578,0,mobile,paid_search
S000104,U0025,2023-11-13,8,1208,0,mobile,paid_search
S000105,U0025,2023-09-19,1,54,1,mobile,paid_search
S000106,U0026,2023-12-24,1,33,1,mobile,social_media
S000107,U0026,2023-12-27,1,18,1,mobile,social_media
S000108,U0026,2023-04-10,14,141,0,mobile,social_media
S000109,U0027,2023-05-20,12,270,0,mobile,paid_search
S000110,U0027,2023-08-02,15,892,0,mobile,paid_search
S000111,U0027,2023-12-16,5,392,0,mobile,paid_search
S000112,U0027,2023-05-03,2,427,0,mobile,paid_search
S000113,U0027,2023-07-22,8,1702,0,mobile,paid_search
S000114,U0027,2023-06-09,1,54,1,mobile,paid_search
S000115,U0028,2023-08-14,15,1023,0,tablet,referral
S000116,U0028,2023-07-04,1,39,1,tablet,referral
S000117,U0029,2023-08-03,15,526,0,mobile,social_media
S000118,U0029,2023-06-22,1,22,1,mobile,social_media
S000119,U0029,2023-09-20,15,202,0,mobile,social_media
S000120,U0029,2023-07-20,10,878,0,mobile,social_media
S000121,U0029,2023-11-29,2,296,0,mobile,social_media
S000122,U0029,2023-07-11,1,26,1,mobile,social_media
S000123,U0030,2023-12-01,7,1552,0,desktop,organic_search
S000124,U0031,2023-08-13,10,296,0,tablet,referral
S000125,U0031,2023-07-18,5,581,0,tablet,referral
S000126,U0031,2023-01-24,2,1124,0,tablet,referral
S000127,U0031,2023-10-04,13,1569,0,tablet,referral
S000128,U0031,2023-12-11,1,37,1,tablet,referral
S000129,U0031,2023-02-06,7,1336,0,tablet,referral
S000130,U0032,2023-12-07,13,675,0,mobile,email
S000131,U0032,2023-11-17,8,728,0,mobile,email
S000132,U0032,2023-11-04,10,320,0,mobile,email
S000133,U0032,2023-10-08,8,1447,0,mobile,email
S000134,U0032,2023-12-18,11,1225,0,mobile,email
S000135,U0032,2023-10-22,15,60,0,mobile,email
S000136,U0033,2023-12-05,1,47,1,mobile,organic_search
S000137,U0033,2023-12-25,9,964,0,mobile,organic_search
S000138,U0033,2023-12-15,10,1029,0,mobile,organic_search
S000139,U0033,2023-11-27,6,1115,0,mobile,organic_search
S000140,U0033,2023-12-29,7,251,0,mobile,organic_search
S000141,U0034,2023-08-25,1,22,1,desktop,paid_search
S000142,U0034,2023-06-03,1,25,1,desktop,paid_search
S000143,U0034,2023-11-18,14,209,0,desktop,paid_search
S000144,U0034,2023-11-08,12,1238,0,desktop,paid_search
S000145,U0035,2023-12-29,9,878,0,mobile,direct
S000146,U0035,2023-10-30,1,54,1,mobile,direct
S000147,U0035,2023-09-29,15,1637,0,mobile,direct
S000148,U0035,2023-10-12,5,420,0,mobile,direct
S000149,U0036,2023-03-24,15,308,0,tablet,direct
S000150,U0036,2023-10-18,1,39,1,tablet,direct
S000151,U0036,2023-11-25,11,709,0,tablet,direct
S000152,U0036,2023-10-11,13,1093,0,tablet,direct
S000153,U0036,2023-10-03,10,973,0,tablet,direct
S000154,U0036,2023-05-19,9,981,0,tablet,direct
S000155,U0036,2023-07-09,15,1365,0,tablet,direct
S000156,U0036,2023-07-18,10,1052,0,tablet,direct
S000157,U0037,2023-08-16,13,645,0,desktop,organic_search
S000158,U0037,2023-08-06,1,30,1,desktop,organic_search
S000159,U0037,2023-10-23,1,19,1,desktop,organic_search
S000160,U0037,2023-08-05,4,1506,0,desktop,organic_search
S000161,U0038,2023-03-14,7,1171,0,mobile,organic_search
S000162,U0038,2023-10-06,5,1765,0,mobile,organic_search
S000163,U0038,2023-09-13,14,1256,0,mobile,organic_search
S000164,U0038,2023-02-20,14,1239,0,mobile,organic_search
S000165,U0039,2023-11-30,1,32,1,desktop,email
S000166,U0039,2023-11-07,15,1771,0,desktop,email
S000167,U0039,2023-11-22,13,1178,0,desktop,email
S000168,U0039,2023-12-16,9,509,0,desktop,email
S000169,U0039,2023-11-03,2,856,0,desktop,email
S000170,U0039,2023-11-12,14,888,0,desktop,email
S000171,U0039,2023-12-31,1,39,1,desktop,email
S000172,U0040,2023-12-27,8,1272,0,mobile,organic_search
S000173,U0040,2023-12-20,3,1376,0,mobile,organic_search
S000174,U0040,2023-12-02,1,39,1,mobile,organic_search
S000175,U0041,2023-05-14,1,30,1,mobile,direct
S000176,U0041,2023-08-05,7,1618,0,mobile,direct
S000177,U0041,2023-10-30,1,36,1,mobile,direct
S000178,U0042,2023-06-29,13,1164,0,mobile,paid_search
S000179,U0042,2023-06-22,7,519,0,mobile,paid_search
S000180,U0042,2023-11-22,1,51,1,mobile,paid_search
S000181,U0042,2023-06-19,5,468,0,mobile,paid_search
S000182,U0042,2023-06-14,5,318,0,mobile,paid_search
S000183,U0043,2023-12-16,1,23,1,desktop,paid_search
S000184,U0043,2023-11-20,14,815,0,desktop,paid_search
S000185,U0043,2023-10-13,13,1531,0,desktop,paid_search
S000186,U0043,2023-10-06,4,697,0,desktop,paid_search
S000187,U0043,2023-10-05,6,1239,0,desktop,paid_search
S000188,U0043,2023-12-17,8,872,0,desktop,paid_search
S000189,U0043,2023-12-22,1,47,1,desktop,paid_search
S000190,U0043,2023-12-19,5,268,0,desktop,paid_search
S000191,U0044,2023-12-27,3,1690,0,desktop,social_media
S000192,U0044,2023-10-27,7,1151,0,desktop,social_media
S000193,U0044,2023-08-18,3,1096,0,desktop,social_media
S000194,U0044,2023-12-08,15,920,0,desktop,social_media
S000195,U0044,2023-09-18,1,33,1,desktop,social_media
S000196,U0045,2023-04-25,13,1128,0,desktop,social_media
S000197,U0045,2023-06-24,10,1646,0,desktop,social_media
S000198,U0045,2023-10-11,15,1557,0,desktop,social_media
S000199,U0045,2023-12-06,1,25,1,desktop,social_media
S000200,U0045,2023-03-22,1,38,1,desktop,social_media
S000201,U0045,2023-06-10,11,1309,0,desktop,social_media
S000202,U0045,2023-08-19,9,725,0,desktop,social_media
S000203,U0045,2023-05-10,7,1693,0,desktop,social_media
S000204,U0046,2023-07-10,1,48,1,desktop,direct
S000205,U0046,2023-06-07,10,451,0,desktop,direct
S000206,U0046,2023-03-01,1,36,1,desktop,direct
S000207,U0046,2023-09-24,5,1474,0,desktop,direct
S000208,U0046,2023-09-17,9,977,0,desktop,direct
S000209,U0047,2023-09-17,1,35,1,desktop,organic_search
S000210,U0048,2023-11-28,7,1029,0,desktop,social_media
S000211,U0048,2023-12-29,8,1587,0,desktop,social_media
S000212,U0048,2023-12-29,13,989,0,desktop,social_media
S000213,U0048,2023-11-23,5,307,0,desktop,social_media
S000214,U0049,2023-10-16,1,44,1,desktop,organic_search
S000215,U0049,2023-09-13,1,40,1,desktop,organic_search
S000216,U0049,2023-10-06,14,1134,0,desktop,organic_search
S000217,U0049,2023-12-27,1,16,1,desktop,organic_search
S000218,U0050,2023-10-19,1,21,1,tablet,paid_search
S000219,U0050,2023-10-21,1,44,1,tablet,paid_search
S000220,U0050,2023-09-06,1,13,1,tablet,paid_search
S000221,U0050,2023-12-24,1,18,1,tablet,paid_search
S000222,U0051,2023-12-04,11,642,0,desktop,referral
S000223,U0051,2023-12-16,7,437,0,desktop,referral
S000224,U0051,2023-12-31,1,40,1,desktop,referral
S000225,U0051,2023-12-04,8,1067,0,desktop,referral
S000226,U0051,2023-12-03,12,169,0,desktop,referral
S000227,U0051,2023-12-05,1,46,1,desktop,referral
S000228,U0051,2023-12-31,5,302,0,desktop,referral
S000229,U0051,2023-12-18,11,1280,0,desktop,referral
S000230,U0052,2023-11-03,9,668,0,desktop,email
S000231,U0052,2023-11-20,6,1224,0,desktop,email
S000232,U0052,2023-11-28,1,16,1,desktop,email
S000233,U0052,2023-08-15,6,1412,0,desktop,email
S000234,U0053,2023-10-22,1,45,1,desktop,paid_search
S000235,U0053,2023-10-11,1,36,1,desktop,paid_search
S000236,U0054,2023-10-31,6,126,0,desktop,direct
S000237,U0054,2023-07-06,1,28,1,desktop,direct
S000238,U0054,2023-11-03,3,1467,0,desktop,direct
S000239,U0054,2023-07-06,14,1680,0,desktop,direct
S000240,U0054,2023-10-15,14,465,0,desktop,direct
S000241,U0054,2023-08-24,1,24,1,desktop,direct
S000242,U0054,2023-10-20,1,27,1,desktop,direct
S000243,U0054,2023-12-05,1,13,1,desktop,direct
S000244,U0055,2023-11-17,15,1225,0,mobile,organic_search
S000245,U0055,2023-11-14,9,1470,0,mobile,organic_search
S000246,U0055,2023-11-16,6,1084,0,mobile,organic_search
S000247,U0056,2023-08-20,1,12,1,tablet,referral
S000248,U0056,2023-08-17,11,572,0,tablet,referral
S000249,U0056,2023-01-21,1,53,1,tablet,referral
S000250,U0056,2023-10-29,2,1626,0,tablet,referral
S000251,U0056,2023-12-18,11,142,0,tablet,referral
S000252,U0056,2023-04-07,12,965,0,tablet,referral
S000253,U0056,2023-05-30,1,47,1,tablet,referral
S000254,U0056,2023-08-19,9,246,0,tablet,referral
S000255,U0057,2023-09-21,7,1432,0,mobile,paid_search
S000256,U0057,2023-05-19,7,903,0,mobile,paid_search
S000257,U0057,2023-12-05,1,35,1,mobile,paid_search
S000258,U0057,2023-04-14,7,576,0,mobile,paid_search
S000259,U0057,2023-09-08,1,35,1,mobile,paid_search
S000260,U0057,2023-12-15,2,1406,0,mobile,paid_search
S000261,U0057,2023-12-29,2,444,0,mobile,paid_search
S000262,U0057,2023-12-17,14,1080,0,mobile,paid_search
S000263,U0058,2023-02-26,1,45,1,desktop,organic_search
S000264,U0058,2023-04-08,9,1490,0,desktop,organic_search
S000265,U0058,2023-10-06,1,50,1,desktop,organic_search
S000266,U0058,2023-12-08,13,384,0,desktop,organic_search
S000267,U0058,2023-07-09,10,895,0,desktop,organic_search
S000268,U0058,2023-03-19,1,17,1,desktop,organic_search
S000269,U0058,2023-09-24,12,1764,0,desktop,organic_search
S000270,U0058,2023-04-19,13,657,0,desktop,organic_search
S000271,U0059,2023-12-05,9,559,0,mobile,organic_search
S000272,U0059,2023-12-15,8,450,0,mobile,organic_search
S000273,U0059,2023-12-29,4,202,0,mobile,organic_search
S000274,U0059,2023-10-30,15,909,0,mobile,organic_search
S000275,U0059,2023-11-16,10,607,0,mobile,organic_search
S000276,U0060,2023-11-17,15,1262,0,mobile,social_media
S000277,U0061,2023-11-29,1,44,1,mobile,referral
S000278,U0061,2023-08-23,10,1622,0,mobile,referral
S000279,U0061,2023-09-08,7,446,0,mobile,referral
S000280,U0061,2023-12-29,11,844,0,mobile,referral
S000281,U0061,2023-06-20,8,149,0,mobile,referral
S000282,U0061,2023-07-12,13,1721,0,mobile,referral
S000283,U0061,2023-07-28,12,1682,0,mobile,referral
S000284,U0061,2023-11-18,4,1074,0,mobile,referral
S000285,U0062,2023-07-12,11,739,0,mobile,organic_search
S000286,U0063,2023-11-24,1,39,1,tablet,organic_search
S000287,U0063,2023-09-30,8,1400,0,tablet,organic_search
S000288,U0064,2023-05-14,6,753,0,desktop,organic_search
S000289,U0064,2023-10-26,15,732,0,desktop,organic_search
S000290,U0064,2023-10-17,12,1531,0,desktop,organic_search
S000291,U0065,2023-12-11,1,14,1,tablet,organic_search
S000292,U0065,2023-09-24,6,525,0,tablet,organic_search
S000293,U0065,2023-08-18,3,1617,0,tablet,organic_search
S000294,U0065,2023-08-20,13,673,0,tablet,organic_search
S000295,U0065,2023-08-02,1,13,1,tablet,organic_search
S000296,U0065,2023-10-09,8,358,0,tablet,organic_search
S000297,U0065,2023-09-26,11,1456,0,tablet,organic_search
S000298,U0065,2023-09-10,1,15,1,tablet,organic_search
S000299,U0066,2023-12-10,9,1254,0,desktop,organic_search
S000300,U0066,2023-11-10,1,50,1,desktop,organic_search
S000301,U0066,2023-11-17,12,79,0,desktop,organic_search
S000302,U0066,2023-12-28,6,1447,0,desktop,organic_search
S000303,U0066,2023-12-05,1,38,1,desktop,organic_search
S000304,U0066,2023-12-31,11,672,0,desktop,organic_search
S000305,U0066,2023-12-11,13,572,0,desktop,organic_search
S000306,U0067,2023-11-24,1,34,1,tablet,paid_search
S000307,U0067,2023-12-17,1,34,1,tablet,paid_search
S000308,U0067,2023-12-29,6,1492,0,tablet,paid_search
S000309,U0067,2023-11-23,1,52,1,tablet,paid_search
S000310,U0067,2023-12-06,1,46,1,tablet,paid_search
S000311,U0067,2023-10-23,13,1077,0,tablet,paid_search
S000312,U0067,2023-11-22,5,1303,0,tablet,paid_search
S000313,U0067,2023-12-01,1,22,1,tablet,paid_search
S000314,U0068,2023-11-30,14,1410,0,desktop,organic_search
S000315,U0068,2023-12-01,12,258,0,desktop,organic_search
S000316,U0068,2023-11-17,6,1675,0,desktop,organic_search
S000317,U0068,2023-09-30,1,33,1,desktop,organic_search
S000318,U0068,2023-12-14,1,28,1,desktop,organic_search
S000319,U0069,2023-12-11,5,330,0,tablet,paid_search
S000320,U0069,2023-12-21,7,1147,0,tablet,paid_search
S000321,U0069,2023-10-09,15,396,0,tablet,paid_search
S000322,U0069,2023-08-07,9,1711,0,tablet,paid_search
S000323,U0069,2023-08-17,7,1707,0,tablet,paid_search
S000324,U0069,2023-07-02,3,348,0,tablet,paid_search
S000325,U0070,2023-12-17,8,1792,0,tablet,paid_search
S000326,U0070,2023-10-17,14,868,0,tablet,paid_search
S000327,U0070,2023-01-12,1,17,1,tablet,paid_search
S000328,U0070,2023-08-25,13,1436,0,tablet,paid_search
S000329,U0071,2023-12-03,12,820,0,mobile,paid_search
S000330,U0071,2023-04-03,9,111,0,mobile,paid_search
S000331,U0071,2023-12-21,10,731,0,mobile,paid_search
S000332,U0071,2023-12-16,1,14,1,mobile,paid_search
S000333,U0071,2023-12-29,13,678,0,mobile,paid_search
S000334,U0072,2023-07-27,1,12,1,tablet,direct
S000335,U0072,2023-09-13,3,259,0,tablet,direct
S000336,U0072,2023-08-27,4,855,0,tablet,direct
S000337,U0072,2023-10-22,13,1486,0,tablet,direct
S000338,U0072,2023-11-13,13,1548,0,tablet,direct
S000339,U0072,2023-08-06,12,262,0,tablet,direct
S000340,U0072,2023-10-31,6,127,0,tablet,direct
S000341,U0073,2023-07-11,5,802,0,mobile,paid_search
S000342,U0073,2023-05-11,7,1175,0,mobile,paid_search
S000343,U0073,2023-09-21,1,27,1,mobile,paid_search
S000344,U0073,2023-06-27,15,1747,0,mobile,paid_search
S000345,U0073,2023-11-09,1,23,1,mobile,paid_search
S000346,U0073,2023-04-01,1,31,1,mobile,paid_search
S000347,U0074,2023-12-05,5,200,0,mobile,paid_search
S000348,U0074,2023-12-27,5,1260,0,mobile,paid_search
S000349,U0074,2023-12-07,5,732,0,mobile,paid_search
S000350,U0074,2023-12-25,1,48,1,mobile,paid_search
S000351,U0075,2023-07-14,4,326,0,desktop,direct
S000352,U0076,2023-05-24,1,11,1,desktop,email
S000353,U0076,2023-05-02,1,25,1,desktop,email
S000354,U0076,2023-12-22,4,603,0,desktop,email
S000355,U0076,2023-03-22,1,36,1,desktop,email
S000356,U0076,2023-11-20,1,14,1,desktop,email
S000357,U0077,2023-12-03,10,1275,0,desktop,social_media
S000358,U0077,2023-06-12,5,1319,0,desktop,social_media
S000359,U0077,2023-05-10,15,1409,0,desktop,social_media
S000360,U0077,2023-09-19,2,184,0,desktop,social_media
S000361,U0077,2023-12-19,8,1465,0,desktop,social_media
S000362,U0077,2023-06-12,9,210,0,desktop,social_media
S000363,U0077,2023-05-29,4,194,0,desktop,social_media
S000364,U0077,2023-06-21,1,50,1,desktop,social_media
S000365,U0078,2023-08-21,10,663,0,desktop,paid_search
S000366,U0078,2023-09-09,8,263,0,desktop,paid_search
S000367,U0078,2023-12-05,15,1400,0,desktop,paid_search
S000368,U0078,2023-10-29,10,1536,0,desktop,paid_search
S000369,U0078,2023-12-23,1,38,1,desktop,paid_search
S000370,U0078,2023-12-29,1,31,1,desktop,paid_search
S000371,U0079,2023-08-19,3,700,0,desktop,organic_search
S000372,U0079,2023-09-02,6,826,0,desktop,organic_search
S000373,U0079,2023-04-15,9,197,0,desktop,organic_search
S000374,U0079,2023-03-14,3,944,0,desktop,organic_search
S000375,U0079,2023-03-17,7,1722,0,desktop,organic_search
S000376,U0079,2023-04-03,11,1210,0,desktop,organic_search
S000377,U0079,2023-11-10,3,901,0,desktop,organic_search
S000378,U0079,2023-07-27,14,926,0,desktop,organic_search
S000379,U0080,2023-05-29,7,272,0,desktop,organic_search
S000380,U0081,2023-06-11,5,1795,0,mobile,email
S000381,U0081,2023-05-18,10,812,0,mobile,email
S000382,U0081,2023-05-21,11,523,0,mobile,email
S000383,U0081,2023-10-29,14,1736,0,mobile,email
S000384,U0082,2023-11-12,15,1480,0,tablet,organic_search
S000385,U0083,2023-04-01,1,54,1,mobile,paid_search
S000386,U0083,2023-08-23,7,72,0,mobile,paid_search
S000387,U0083,2023-06-18,11,1406,0,mobile,paid_search
S000388,U0083,2023-10-09,1,50,1,mobile,paid_search
S000389,U0083,2023-04-02,1,43,1,mobile,paid_search
S000390,U0084,2023-09-25,7,382,0,desktop,paid_search
S000391,U0084,2023-09-22,7,1650,0,desktop,paid_search
S000392,U0084,2023-04-29,4,382,0,desktop,paid_search
S000393,U0084,2023-04-11,6,967,0,desktop,paid_search
S000394,U0085,2023-09-26,8,619,0,desktop,direct
S000395,U0085,2023-05-11,3,766,0,desktop,direct
S000396,U0085,2023-08-29,1,53,1,desktop,direct
S000397,U0085,2023-11-20,12,691,0,desktop,direct
S000398,U0085,2023-02-13,1,48,1,desktop,direct
S000399,U0085,2023-02-18,1,29,1,desktop,direct
S000400,U0085,2023-05-09,14,583,0,desktop,direct
S000401,U0086,2023-08-08,1,41,1,mobile,paid_search
S000402,U0086,2023-09-30,1,34,1,mobile,paid_search
S000403,U0086,2023-11-21,10,1204,0,mobile,paid_search
S000404,U0086,2023-08-22,1,12,1,mobile,paid_search
S000405,U0086,2023-10-03,1,14,1,mobile,paid_search
S000406,U0087,2023-12-20,8,1513,0,tablet,email
S000407,U0087,2023-12-24,3,889,0,tablet,email
S000408,U0087,2023-11-15,4,1701,0,tablet,email
S000409,U0087,2023-12-23,13,801,0,tablet,email
S000410,U0087,2023-11-19,3,558,0,tablet,email
S000411,U0087,2023-12-11,10,221,0,tablet,email
S000412,U0088,2023-08-30,5,742,0,mobile,referral
S000413,U0088,2023-06-19,1,50,1,mobile,referral
S000414,U0088,2023-05-22,5,1649,0,mobile,referral
S000415,U0088,2023-09-19,15,1381,0,mobile,referral
S000416,U0088,2023-06-08,1,19,1,mobile,referral
S000417,U0088,2023-08-03,1,48,1,mobile,referral
S000418,U0088,2023-06-11,12,214,0,mobile,referral
S000419,U0089,2023-11-30,14,1214,0,tablet,organic_search
S000420,U0089,2023-11-05,11,1376,0,tablet,organic_search
S000421,U0089,2023-12-04,7,1344,0,tablet,organic_search
S000422,U0090,2023-09-06,9,965,0,tablet,email
S000423,U0090,2023-10-15,11,175,0,tablet,email
S000424,U0090,2023-10-28,6,1005,0,tablet,email
S000425,U0090,2023-11-22,1,33,1,tablet,email
S000426,U0090,2023-10-11,1,15,1,tablet,email
S000427,U0090,2023-12-29,9,1248,0,tablet,email
S000428,U0091,2023-09-09,11,1394,0,mobile,organic_search
S000429,U0092,2023-07-03,10,368,0,desktop,direct
S000430,U0092,2023-02-20,14,1774,0,desktop,direct
S000431,U0092,2023-07-14,3,1093,0,desktop,direct
S000432,U0092,2023-12-16,1,25,1,desktop,direct
S000433,U0093,2023-12-14,11,385,0,mobile,organic_search
S000434,U0093,2023-11-25,6,853,0,mobile,organic_search
S000435,U0093,2023-12-06,12,1284,0,mobile,organic_search
S000436,U0093,2023-09-06,12,745,0,mobile,organic_search
S000437,U0093,2023-09-09,10,1449,0,mobile,organic_search
S000438,U0093,2023-11-30,1,52,1,mobile,organic_search
S000439,U0093,2023-10-01,11,1419,0,mobile,organic_search
S000440,U0093,2023-09-29,6,1403,0,mobile,organic_search
S000441,U0094,2023-05-28,3,694,0,desktop,organic_search
S000442,U0094,2023-09-15,14,732,0,desktop,organic_search
S000443,U0094,2023-11-19,1,54,1,desktop,organic_search
S000444,U0094,2023-11-23,12,1138,0,desktop,organic_search
S000445,U0094,2023-05-18,8,1101,0,desktop,organic_search
S000446,U0094,2023-07-26,1,29,1,desktop,organic_search
S000447,U0094,2023-06-10,7,1629,0,desktop,organic_search
S000448,U0095,2023-05-14,1,18,1,desktop,referral
S000449,U0095,2023-04-25,1,16,1,desktop,referral
S000450,U0095,2023-10-22,15,1572,0,desktop,referral
S000451,U0095,2023-11-01,1,31,1,desktop,referral
S000452,U0095,2023-12-18,1,34,1,desktop,referral
S000453,U0095,2023-04-24,1,54,1,desktop,referral
S000454,U0095,2023-12-21,4,1536,0,desktop,referral
S000455,U0095,2023-09-17,1,33,1,desktop,referral
S000456,U0096,2023-11-14,14,1593,0,mobile,social_media
S000457,U0096,2023-11-15,1,25,1,mobile,social_media
S000458,U0096,2023-10-11,14,1020,0,mobile,social_media
S000459,U0096,2023-09-11,11,962,0,mobile,social_media
S000460,U0097,2023-06-08,10,1140,0,tablet,organic_search
S000461,U0097,2023-08-17,15,468,0,tablet,organic_search
S000462,U0097,2023-11-20,1,26,1,tablet,organic_search
S000463,U0097,2023-02-10,15,820,0,tablet,organic_search
S000464,U0097,2023-10-25,13,1792,0,tablet,organic_search
S000465,U0097,2023-10-06,6,231,0,tablet,organic_search
S000466,U0097,2023-04-07,1,42,1,tablet,organic_search
S000467,U0097,2023-03-31,3,514,0,tablet,organic_search
S000468,U0098,2023-12-28,2,909,0,mobile,organic_search
S000469,U0098,2023-05-29,7,542,0,mobile,organic_search
S000470,U0098,2023-08-22,7,519,0,mobile,organic_search
S000471,U0098,2023-05-23,3,1778,0,mobile,organic_search
S000472,U0098,2023-11-14,14,359,0,mobile,organic_search
