transaction_id,user_id,session_id,product_id,product_name,category,amount,quantity,transaction_date,channel,device,country
T00029,U0049,S000192,P002,Yoga Mat,Sports,34.99,3,2023-09-06,organic_search,desktop,Germany
T00030,U0049,S000197,P004,Water Bottle,Accessories,19.99,3,2023-12-08,organic_search,desktop,Germany
T00031,U0050,S000198,P003,Protein Powder,Nutrition,49.99,2,2023-12-02,paid_search,tablet,Germany
T00032,U0050,S000199,P003,Protein Powder,Nutrition,49.99,1,2023-10-29,paid_search,tablet,Germany
T00033,U0051,S000203,P007,Sports Watch,Electronics,199.99,3,2023-12-24,referral,desktop,Germany
T00034,U0052,S000205,P009,Foam Roller,Recovery,39.99,3,2023-12-23,email,desktop,Germany
T00035,U0053,S000208,P003,Protein Powder,Nutrition,49.99,2,2023-12-04,paid_search,desktop,Germany
T00036,U0054,S000216,P002,Yoga Mat,Sports,34.99,2,2023-10-19,direct,desktop,Netherlands
T00037,U0055,S000220,P010,Jump Rope,Sports,12.99,2,2023-10-11,organic_search,mobile,Austria
T00038,U0055,S000221,P009,Foam Roller,Recovery,39.99,2,2023-10-19,organic_search,mobile,Austria
T00039,U0059,S000243,P005,Gym Gloves,Accessories,24.99,1,2023-09-22,organic_search,mobile,Switzerland
T00040,U0063,S000252,P010,Jump Rope,Sports,12.99,3,2023-10-31,organic_search,tablet,Germany
T00041,U0064,S000253,P004,Water Bottle,Accessories,19.99,1,2023-07-25,organic_search,desktop,Netherlands
T00042,U0069,S000276,P004,Water Bottle,Accessories,19.99,1,2023-08-24,paid_search,tablet,France
T00043,U0069,S000277,P002,Yoga Mat,Sports,34.99,1,2023-08-04,paid_search,tablet,France
T00044,U0070,S000280,P004,Water Bottle,Accessories,19.99,2,2023-11-18,paid_search,tablet,France
T00045,U0070,S000284,P009,Foam Roller,Recovery,39.99,1,2023-03-23,paid_search,tablet,France
T00046,U0071,S000287,P010,Jump Rope,Sports,12.99,1,2023-05-30,paid_search,mobile,Germany
T00047,U0071,S000288,P009,Foam Roller,Recovery,39.99,1,2023-06-28,paid_search,mobile,Germany
T00048,U0071,S000290,P003,Protein Powder,Nutrition,49.99,1,2023-07-13,paid_search,mobile,Germany
T00049,U0072,S000293,P008,Compression Socks,Footwear,14.99,3,2023-11-27,direct,tablet,Germany
T00050,U0074,S000306,P005,Gym Gloves,Accessories,24.99,2,2023-12-10,paid_search,mobile,Austria
T00051,U0075,S000311,P010,Jump Rope,Sports,12.99,2,2023-06-30,direct,desktop,Germany
T00052,U0076,S000312,P003,Protein Powder,Nutrition,49.99,3,2023-12-09,email,desktop,Germany
T00053,U0078,S000324,P004,Water Bottle,Accessories,19.99,3,2023-06-15,paid_search,desktop,Netherlands
T00054,U0079,S000327,P004,Water Bottle,Accessories,19.99,3,2023-04-24,organic_search,desktop,Germany
T00055,U0080,S000331,P007,Sports Watch,Electronics,199.99,3,2023-06-29,organic_search,desktop,France
T00056,U0084,S000356,P007,Sports Watch,Electronics,199.99,1,2023-09-21,paid_search,desktop,Germany
T00057,U0085,S000359,P007,Sports Watch,Electronics,199.99,2,2023-12-22,direct,desktop,Germany
T00058,U0087,S000365,P001,Running Shoes,Footwear,89.99,2,2023-12-28,email,tablet,Germany
T00059,U0087,S000367,P007,Sports Watch,Electronics,199.99,1,2023-12-08,email,tablet,Germany
T00060,U0090,S000373,P005,Gym Gloves,Accessories,24.99,1,2023-08-30,email,tablet,Netherlands
T00061,U0091,S000380,P005,Gym Gloves,Accessories,24.99,1,2023-08-10,organic_search,mobile,Germany
T00062,U0092,S000384,P004,Water Bottle,Accessories,19.99,1,2023-10-15,direct,desktop,Netherlands
T00063,U0093,S000389,P004,Water Bottle,Accessories,19.99,2,2023-09-30,organic_search,mobile,Netherlands
T00064,U0097,S000403,P003,Protein Powder,Nutrition,49.99,3,2023-11-03,organic_search,tablet,Germany
T00065,U0098,S000409,P003,Protein Powder,Nutrition,49.99,1,2023-07-22,organic_search,mobile,Germany
T00066,U0099,S000413,P007,Sports Watch,Electronics,199.99,2,2023-11-28,paid_search,tablet,Germany
T00067,U0099,S000416,P004,Water Bottle,Accessories,19.99,2,2023-10-13,paid_search,tablet,Germany
T00068,U0100,S000420,P006,Resistance Bands,Sports,29.99,1,2023-11-03,organic_search,desktop,Germany
T00069,U0102,S000431,P003,Protein Powder,Nutrition,49.99,2,2023-06-05,paid_search,desktop,Switzerland
T00070,U0102,S000433,P010,Jump Rope,Sports,12.99,3,2023-06-27,paid_search,desktop,Switzerland
T00071,U0102,S000435,P002,Yoga Mat,Sports,34.99,3,2023-05-22,paid_search,desktop,Switzerland
T00072,U0103,S000444,P009,Foam Roller,Recovery,39.99,1,2023-11-18,social_media,mobile,Germany
T00073,U0104,S000448,P003,Protein Powder,Nutrition,49.99,1,2023-11-07,paid_search,mobile,Germany
T00074,U0104,S000449,P010,Jump Rope,Sports,12.99,1,2023-06-26,paid_search,mobile,Germany
T00075,U0104,S000451,P005,Gym Gloves,Accessories,24.99,3,2023-12-18,paid_search,mobile,Germany
T00076,U0111,S000468,P003,Protein Powder,Nutrition,49.99,2,2023-12-03,organic_search,mobile,Switzerland
T00077,U0113,S000482,P006,Resistance Bands,Sports,29.99,1,2023-11-23,referral,mobile,Switzerland
T00078,U0114,S000484,P001,Running Shoes,Footwear,89.99,3,2023-09-30,paid_search,mobile,Germany
T00079,U0114,S000485,P008,Compression Socks,Footwear,14.99,1,2023-10-15,paid_search,mobile,Germany
T00080,U0115,S000488,P008,Compression Socks,Footwear,14.99,2,2023-08-04,paid_search,desktop,Switzerland
T00081,U0115,S000492,P007,Sports Watch,Electronics,199.99,3,2023-11-09,paid_search,desktop,Switzerland
T00082,U0115,S000493,P009,Foam Roller,Recovery,39.99,2,2023-11-21,paid_search,desktop,Switzerland
T00083,U0116,S000498,P007,Sports Watch,Electronics,199.99,3,2023-07-04,direct,tablet,Netherlands
T00084,U0118,S000508,P007,Sports Watch,Electronics,199.99,3,2023-10-18,organic_search,desktop,Netherlands
T00085,U0121,S000521,P006,Resistance Bands,Sports,29.99,1,2023-12-10,email,tablet,Germany
T00086,U0129,S000544,P009,Foam Roller,Recovery,39.99,1,2023-11-18,direct,desktop,Netherlands
T00087,U0129,S000546,P001,Running Shoes,Footwear,89.99,1,2023-12-27,direct,desktop,Netherlands
T00088,U0130,S000552,P009,Foam Roller,Recovery,39.99,1,2023-11-03,paid_search,desktop,Germany
T00089,U0132,S000567,P004,Water Bottle,Accessories,19.99,2,2023-11-16,email,tablet,Germany
T00090,U0132,S000570,P006,Resistance Bands,Sports,29.99,1,2023-12-18,email,tablet,Germany
T00091,U0134,S000575,P004,Water Bottle,Accessories,19.99,3,2023-12-21,social_media,mobile,Netherlands
T00092,U0134,S000576,P009,Foam Roller,Recovery,39.99,2,2023-12-28,social_media,mobile,Netherlands
T00093,U0137,S000591,P005,Gym Gloves,Accessories,24.99,1,2023-09-07,organic_search,desktop,Germany
T00094,U0139,S000597,P004,Water Bottle,Accessories,19.99,3,2023-10-15,organic_search,desktop,Germany
T00095,U0142,S000612,P010,Jump Rope,Sports,12.99,3,2023-08-14,organic_search,desktop,Germany
T00096,U0143,S000617,P008,Compression Socks,Footwear,14.99,2,2023-12-30,paid_search,desktop,France
T00097,U0147,S000638,P003,Protein Powder,Nutrition,49.99,3,2023-10-11,social_media,tablet,Germany
T00098,U0147,S000639,P003,Protein Powder,Nutrition,49.99,3,2023-08-27,social_media,tablet,Germany
T00099,U0150,S000654,P004,Water Bottle,Accessories,19.99,3,2023-04-08,email,mobile,Germany
T00100,U0151,S000660,P002,Yoga Mat,Sports,34.99,2,2023-11-08,paid_search,desktop,Austria
T00101,U0152,S000664,P008,Compression Socks,Footwear,14.99,3,2023-11-22,organic_search,desktop,Germany
T00102,U0153,S000670,P009,Foam Roller,Recovery,39.99,3,2023-11-17,referral,mobile,Netherlands
T00103,U0154,S000672,P009,Foam Roller,Recovery,39.99,2,2023-10-28,paid_search,mobile,France
T00104,U0157,S000679,P004,Water Bottle,Accessories,19.99,1,2023-10-31,email,desktop,Netherlands
T00105,U0157,S000681,P005,Gym Gloves,Accessories,24.99,1,2023-06-17,email,desktop,Netherlands
T00106,U0160,S000686,P010,Jump Rope,Sports,12.99,2,2023-08-04,paid_search,desktop,Germany
T00107,U0160,S000688,P004,Water Bottle,Accessories,19.99,3,2023-07-06,paid_search,desktop,Germany
T00108,U0161,S000691,P006,Resistance Bands,Sports,29.99,1,2023-12-11,social_media,desktop,Germany
T00109,U0161,S000691,P010,Jump Rope,Sports,12.99,1,2023-12-11,social_media,desktop,Germany
T00110,U0163,S000704,P001,Running Shoes,Footwear,89.99,1,2023-09-05,social_media,mobile,Germany
T00111,U0163,S000704,P002,Yoga Mat,Sports,34.99,2,2023-09-05,social_media,mobile,Germany
T00112,U0164,S000706,P010,Jump Rope,Sports,12.99,3,2023-11-24,organic_search,desktop,Switzerland
T00113,U0166,S000722,P009,Foam Roller,Recovery,39.99,1,2023-07-17,paid_search,mobile,Germany
T00114,U0166,S000722,P002,Yoga Mat,Sports,34.99,1,2023-07-17,paid_search,mobile,Germany
T00115,U0166,S000725,P001,Running Shoes,Footwear,89.99,1,2023-12-04,paid_search,mobile,Germany
T00116,U0167,S000726,P004,Water Bottle,Accessories,19.99,2,2023-12-09,organic_search,desktop,Germany
T00117,U0168,S000727,P010,Jump Rope,Sports,12.99,1,2023-12-08,organic_search,mobile,France
T00118,U0168,S000728,P009,Foam Roller,Recovery,39.99,1,2023-05-19,organic_search,mobile,France
T00119,U0168,S000730,P004,Water Bottle,Accessories,19.99,3,2023-09-07,organic_search,mobile,France
T00120,U0172,S000745,P006,Resistance Bands,Sports,29.99,1,2023-08-23,organic_search,mobile,Germany
T00121,U0175,S000756,P003,Protein Powder,Nutrition,49.99,1,2023-09-28,paid_search,desktop,Germany
T00122,U0175,S000758,P003,Protein Powder,Nutrition,49.99,3,2023-11-22,paid_search,desktop,Germany
T00123,U0175,S000759,P001,Running Shoes,Footwear,89.99,1,2023-12-08,paid_search,desktop,Germany
T00124,U0175,S000759,P003,Protein Powder,Nutrition,49.99,3,2023-12-08,paid_search,desktop,Germany
T00125,U0176,S000766,P003,Protein Powder,Nutrition,49.99,3,2023-11-15,organic_search,desktop,Germany
T00126,U0176,S000767,P010,Jump Rope,Sports,12.99,2,2023-11-06,organic_search,desktop,Germany
T00127,U0180,S000781,P008,Compression Socks,Footwear,14.99,1,2023-05-03,email,desktop,Netherlands
T00128,U0180,S000782,P008,Compression Socks,Footwear,14.99,1,2023-12-27,email,desktop,Netherlands
T00129,U0180,S000787,P007,Sports Watch,Electronics,199.99,1,2023-12-09,email,desktop,Netherlands
T00130,U0180,S000787,P006,Resistance Bands,Sports,29.99,2,2023-12-09,email,desktop,Netherlands
T00131,U0185,S000798,P008,Compression Socks,Footwear,14.99,3,2023-08-29,social_media,mobile,Germany
T00132,U0186,S000813,P004,Water Bottle,Accessories,19.99,1,2023-08-27,social_media,mobile,Germany
T00133,U0187,S000815,P004,Water Bottle,Accessories,19.99,3,2023-05-29,direct,mobile,Austria
T00134,U0189,S000828,P009,Foam Roller,Recovery,39.99,1,2023-10-25,email,desktop,Germany
T00135,U0191,S000837,P006,Resistance Bands,Sports,29.99,1,2023-09-09,organic_search,mobile,Switzerland
T00136,U0191,S000837,P002,Yoga Mat,Sports,34.99,1,2023-09-09,organic_search,mobile,Switzerland
T00137,U0192,S000842,P010,Jump Rope,Sports,12.99,1,2023-06-20,paid_search,mobile,Germany
T00138,U0192,S000847,P006,Resistance Bands,Sports,29.99,3,2023-12-20,paid_search,mobile,Germany
T00139,U0192,S000848,P010,Jump Rope,Sports,12.99,1,2023-11-10,paid_search,mobile,Germany
T00140,U0193,S000851,P004,Water Bottle,Accessories,19.99,1,2023-08-26,direct,mobile,Austria
T00141,U0194,S000858,P001,Running Shoes,Footwear,89.99,2,2023-04-02,organic_search,tablet,Netherlands
T00142,U0194,S000859,P009,Foam Roller,Recovery,39.99,1,2023-10-03,organic_search,tablet,Netherlands
T00143,U0195,S000864,P007,Sports Watch,Electronics,199.99,1,2023-12-12,social_media,desktop,Switzerland
T00144,U0197,S000871,P009,Foam Roller,Recovery,39.99,1,2023-10-14,social_media,tablet,Germany
T00145,U0198,S000878,P001,Running Shoes,Footwear,89.99,3,2023-12-20,paid_search,mobile,France
T00146,U0199,S000886,P007,Sports Watch,Electronics,199.99,1,2023-12-25,organic_search,desktop,Switzerland
T00147,U0200,S000889,P009,Foam Roller,Recovery,39.99,2,2023-11-30,organic_search,mobile,Germany
T00148,U0200,S000891,P003,Protein Powder,Nutrition,49.99,1,2023-06-08,organic_search,mobile,Germany
T00149,U0200,S000892,P001,Running Shoes,Footwear,89.99,1,2023-08-20,organic_search,mobile,Germany
T00150,U0201,S000895,P005,Gym Gloves,Accessories,24.99,2,2023-12-03,email,mobile,Germany
T00151,U0203,S000901,P001,Running Shoes,Footwear,89.99,2,2023-10-11,email,desktop,Netherlands
T00152,U0204,S000910,P004,Water Bottle,Accessories,19.99,3,2023-12-09,paid_search,desktop,Germany
T00153,U0205,S000913,P008,Compression Socks,Footwear,14.99,1,2023-11-21,social_media,mobile,Germany
T00154,U0207,S000923,P003,Protein Powder,Nutrition,49.99,3,2023-12-16,organic_search,tablet,Austria
T00155,U0208,S000926,P010,Jump Rope,Sports,12.99,2,2023-11-09,social_media,desktop,Germany
T00156,U0211,S000932,P005,Gym Gloves,Accessories,24.99,1,2023-06-18,paid_search,desktop,Netherlands
T00157,U0215,S000948,P007,Sports Watch,Electronics,199.99,1,2023-10-01,organic_search,desktop,Switzerland
T00158,U0217,S000952,P007,Sports Watch,Electronics,199.99,2,2023-12-12,paid_search,desktop,Austria
T00159,U0222,S000965,P010,Jump Rope,Sports,12.99,2,2023-07-01,paid_search,desktop,Austria
T00160,U0222,S000965,P008,Compression Socks,Footwear,14.99,3,2023-07-01,paid_search,desktop,Austria
T00161,U0224,S000976,P010,Jump Rope,Sports,12.99,1,2023-11-20,paid_search,mobile,Switzerland
T00162,U0224,S000979,P008,Compression Socks,Footwear,14.99,3,2023-10-08,paid_search,mobile,Switzerland
T00163,U0225,S000982,P010,Jump Rope,Sports,12.99,1,2023-08-26,direct,tablet,Germany
T00164,U0227,S000987,P006,Resistance Bands,Sports,29.99,1,2023-10-13,direct,tablet,Germany
T00165,U0227,S000992,P009,Foam Roller,Recovery,39.99,2,2023-11-12,direct,tablet,Germany
T00166,U0230,S000996,P007,Sports Watch,Electronics,199.99,2,2023-08-06,referral,mobile,Germany
T00167,U0230,S000997,P006,Resistance Bands,Sports,29.99,3,2023-08-18,referral,mobile,Germany
T00168,U0230,S001000,P001,Running Shoes,Footwear,89.99,1,2023-10-09,referral,mobile,Germany
T00169,U0231,S001002,P007,Sports Watch,Electronics,199.99,1,2023-11-02,email,mobile,Germany
T00170,U0231,S001003,P003,Protein Powder,Nutrition,49.99,2,2023-05-03,email,mobile,Germany
T00171,U0231,S001006,P004,Water Bottle,Accessories,19.99,2,2023-08-27,email,mobile,Germany
T00172,U0233,S001017,P003,Protein Powder,Nutrition,49.99,1,2023-10-24,organic_search,desktop,Germany
T00173,U0235,S001028,P007,Sports Watch,Electronics,199.99,1,2023-10-01,organic_search,tablet,Austria
T00174,U0236,S001035,P005,Gym Gloves,Accessories,24.99,1,2023-09-25,paid_search,mobile,Germany
T00175,U0240,S001052,P007,Sports Watch,Electronics,199.99,2,2023-08-07,social_media,mobile,Germany
T00176,U0244,S001063,P008,Compression Socks,Footwear,14.99,1,2023-08-30,direct,mobile,Netherlands
T00177,U0247,S001075,P002,Yoga Mat,Sports,34.99,3,2023-03-19,social_media,tablet,Austria
T00178,U0249,S001086,P001,Running Shoes,Footwear,89.99,2,2023-11-16,organic_search,desktop,Switzerland
T00179,U0250,S001093,P003,Protein Powder,Nutrition,49.99,3,2023-09-14,organic_search,mobile,Netherlands
T00180,U0251,S001096,P008,Compression Socks,Footwear,14.99,3,2023-11-27,paid_search,tablet,Netherlands
T00181,U0251,S001097,P010,Jump Rope,Sports,12.99,3,2023-12-26,paid_search,tablet,Netherlands
T00182,U0251,S001097,P008,Compression Socks,Footwear,14.99,1,2023-12-26,paid_search,tablet,Netherlands
T00183,U0251,S001099,P004,Water Bottle,Accessories,19.99,3,2023-10-31,paid_search,tablet,Netherlands
T00184,U0251,S001100,P004,Water Bottle,Accessories,19.99,3,2023-10-22,paid_search,tablet,Netherlands
T00185,U0253,S001105,P009,Foam Roller,Recovery,39.99,2,2023-12-15,email,desktop,Germany
T00186,U0253,S001107,P010,Jump Rope,Sports,12.99,3,2023-09-17,email,desktop,Germany
T00187,U0254,S001111,P006,Resistance Bands,Sports,29.99,3,2023-03-15,organic_search,tablet,Netherlands
T00188,U0255,S001114,P008,Compression Socks,Footwear,14.99,2,2023-09-17,referral,mobile,Germany
T00189,U0256,S001116,P003,Protein Powder,Nutrition,49.99,1,2023-12-08,organic_search,mobile,Germany
T00190,U0257,S001122,P008,Compression Socks,Footwear,14.99,1,2023-05-23,social_media,mobile,France
T00191,U0259,S001130,P010,Jump Rope,Sports,12.99,1,2023-12-28,organic_search,mobile,Austria
T00192,U0260,S001137,P002,Yoga Mat,Sports,34.99,3,2023-12-28,email,tablet,Germany
T00193,U0260,S001139,P001,Running Shoes,Footwear,89.99,3,2023-12-29,email,tablet,Germany
T00194,U0260,S001141,P003,Protein Powder,Nutrition,49.99,3,2023-12-30,email,tablet,Germany
T00195,U0260,S001142,P002,Yoga Mat,Sports,34.99,2,2023-12-21,email,tablet,Germany
T00196,U0262,S001145,P007,Sports Watch,Electronics,199.99,1,2023-10-17,organic_search,desktop,Austria
T00197,U0263,S001146,P003,Protein Powder,Nutrition,49.99,3,2023-11-28,paid_search,mobile,Switzerland
T00198,U0263,S001147,P006,Resistance Bands,Sports,29.99,1,2023-12-25,paid_search,mobile,Switzerland
T00199,U0264,S001155,P003,Protein Powder,Nutrition,49.99,3,2023-12-18,paid_search,mobile,Germany
T00200,U0264,S001156,P001,Running Shoes,Footwear,89.99,1,2023-10-17,paid_search,mobile,Germany
T00201,U0266,S001162,P008,Compression Socks,Footwear,14.99,3,2023-11-28,organic_search,desktop,Germany
T00202,U0268,S001165,P001,Running Shoes,Footwear,89.99,3,2023-12-04,direct,mobile,Germany
T00203,U0268,S001165,P007,Sports Watch,Electronics,199.99,1,2023-12-04,direct,mobile,Germany
T00204,U0268,S001166,P005,Gym Gloves,Accessories,24.99,1,2023-11-11,direct,mobile,Germany
T00205,U0269,S001171,P008,Compression Socks,Footwear,14.99,2,2023-10-03,organic_search,desktop,Netherlands
T00206,U0274,S001199,P005,Gym Gloves,Accessories,24.99,1,2023-07-30,email,mobile,Germany
T00207,U0275,S001202,P009,Foam Roller,Recovery,39.99,2,2023-07-07,referral,mobile,Switzerland
T00208,U0276,S001208,P003,Protein Powder,Nutrition,49.99,2,2023-07-18,social_media,desktop,Germany
T00209,U0279,S001220,P001,Running Shoes,Footwear,89.99,3,2023-10-04,paid_search,desktop,Austria
T00210,U0279,S001220,P008,Compression Socks,Footwear,14.99,3,2023-10-04,paid_search,desktop,Austria
T00211,U0279,S001222,P010,Jump Rope,Sports,12.99,2,2023-10-19,paid_search,desktop,Austria
T00212,U0280,S001227,P007,Sports Watch,Electronics,199.99,1,2023-10-17,paid_search,tablet,Germany
T00213,U0281,S001229,P002,Yoga Mat,Sports,34.99,3,2023-10-11,organic_search,mobile,Germany
T00214,U0281,S001231,P009,Foam Roller,Recovery,39.99,3,2023-11-13,organic_search,mobile,Germany
T00215,U0282,S001237,P010,Jump Rope,Sports,12.99,2,2023-11-30,email,desktop,Germany
T00216,U0282,S001238,P005,Gym Gloves,Accessories,24.99,1,2023-10-05,email,desktop,Germany
T00217,U0285,S001251,P002,Yoga Mat,Sports,34.99,3,2023-09-02,paid_search,mobile,Germany
T00218,U0286,S001253,P004,Water Bottle,Accessories,19.99,3,2023-11-30,social_media,desktop,Switzerland
T00219,U0286,S001257,P008,Compression Socks,Footwear,14.99,2,2023-12-05,social_media,desktop,Switzerland
T00220,U0286,S001257,P002,Yoga Mat,Sports,34.99,3,2023-12-05,social_media,desktop,Switzerland
T00221,U0289,S001262,P007,Sports Watch,Electronics,199.99,3,2023-12-09,paid_search,mobile,Germany
T00222,U0290,S001269,P009,Foam Roller,Recovery,39.99,1,2023-10-04,social_media,desktop,Germany
T00223,U0290,S001271,P008,Compression Socks,Footwear,14.99,3,2023-10-18,social_media,desktop,Germany
T00224,U0294,S001287,P001,Running Shoes,Footwear,89.99,1,2023-09-05,paid_search,tablet,France
T00225,U0297,S001302,P004,Water Bottle,Accessories,19.99,1,2023-04-04,social_media,desktop,Germany
T00226,U0297,S001304,P003,Protein Powder,Nutrition,49.99,3,2023-11-03,social_media,desktop,Germany
T00227,U0298,S001308,P008,Compression Socks,Footwear,14.99,2,2023-11-04,paid_search,mobile,Austria
T00228,U0301,S001324,P005,Gym Gloves,Accessories,24.99,1,2023-06-24,organic_search,desktop,Switzerland
T00229,U0302,S001331,P008,Compression Socks,Footwear,14.99,2,2023-08-07,paid_search,desktop,Germany
T00230,U0304,S001339,P009,Foam Roller,Recovery,39.99,1,2023-05-06,email,desktop,Germany
T00231,U0304,S001341,P001,Running Shoes,Footwear,89.99,2,2023-06-13,email,desktop,Germany
T00232,U0309,S001359,P001,Running Shoes,Footwear,89.99,1,2023-12-20,organic_search,desktop,Germany
T00233,U0310,S001360,P002,Yoga Mat,Sports,34.99,1,2023-11-08,paid_search,mobile,Germany
T00234,U0310,S001363,P008,Compression Socks,Footwear,14.99,2,2023-12-10,paid_search,mobile,Germany
T00235,U0310,S001364,P005,Gym Gloves,Accessories,24.99,2,2023-12-12,paid_search,mobile,Germany
T00236,U0310,S001365,P001,Running Shoes,Footwear,89.99,1,2023-12-31,paid_search,mobile,Germany
T00237,U0311,S001369,P007,Sports Watch,Electronics,199.99,2,2023-09-29,referral,desktop,Germany
T00238,U0315,S001384,P001,Running Shoes,Footwear,89.99,3,2023-12-14,organic_search,tablet,Germany
T00239,U0320,S001406,P008,Compression Socks,Footwear,14.99,2,2023-12-26,email,desktop,Austria
T00240,U0320,S001407,P002,Yoga Mat,Sports,34.99,3,2023-10-09,email,desktop,Austria
T00241,U0321,S001409,P008,Compression Socks,Footwear,14.99,1,2023-11-14,organic_search,tablet,Switzerland
T00242,U0322,S001412,P009,Foam Roller,Recovery,39.99,2,2023-07-29,organic_search,desktop,Austria
T00243,U0323,S001419,P010,Jump Rope,Sports,12.99,1,2023-08-05,paid_search,desktop,Switzerland
T00244,U0323,S001419,P006,Resistance Bands,Sports,29.99,1,2023-08-05,paid_search,desktop,Switzerland
T00245,U0323,S001420,P008,Compression Socks,Footwear,14.99,1,2023-11-03,paid_search,desktop,Switzerland
T00246,U0323,S001423,P006,Resistance Bands,Sports,29.99,2,2023-10-04,paid_search,desktop,Switzerland
T00247,U0325,S001432,P009,Foam Roller,Recovery,39.99,1,2023-09-25,organic_search,desktop,Germany
T00248,U0326,S001436,P010,Jump Rope,Sports,12.99,1,2023-10-01,email,mobile,Germany
T00249,U0326,S001440,P006,Resistance Bands,Sports,29.99,3,2023-08-19,email,mobile,Germany
T00250,U0326,S001440,P009,Foam Roller,Recovery,39.99,1,2023-08-19,email,mobile,Germany
T00251,U0327,S001444,P008,Compression Socks,Footwear,14.99,1,2023-11-23,paid_search,mobile,Switzerland
T00252,U0329,S001446,P006,Resistance Bands,Sports,29.99,1,2023-12-11,organic_search,tablet,Germany
T00253,U0329,S001448,P004,Water Bottle,Accessories,19.99,2,2023-11-22,organic_search,tablet,Germany
T00254,U0333,S001464,P008,Compression Socks,Footwear,14.99,3,2023-03-18,social_media,tablet,Germany
T00255,U0335,S001469,P003,Protein Powder,Nutrition,49.99,3,2023-04-15,paid_search,mobile,Switzerland
T00256,U0338,S001479,P006,Resistance Bands,Sports,29.99,3,2023-06-04,paid_search,desktop,Germany
T00257,U0338,S001480,P001,Running Shoes,Footwear,89.99,3,2023-12-28,paid_search,desktop,Germany
T00258,U0338,S001482,P004,Water Bottle,Accessories,19.99,1,2023-03-05,paid_search,desktop,Germany
T00259,U0340,S001489,P010,Jump Rope,Sports,12.99,1,2023-08-08,paid_search,desktop,Germany
T00260,U0340,S001494,P010,Jump Rope,Sports,12.99,1,2023-07-11,paid_search,desktop,Germany
T00261,U0341,S001495,P006,Resistance Bands,Sports,29.99,2,2023-08-12,social_media,desktop,Austria
T00262,U0345,S001519,P009,Foam Roller,Recovery,39.99,3,2023-09-24,direct,desktop,Switzerland
T00263,U0345,S001520,P001,Running Shoes,Footwear,89.99,2,2023-03-19,direct,desktop,Switzerland
T00264,U0347,S001523,P009,Foam Roller,Recovery,39.99,2,2023-12-29,paid_search,mobile,Netherlands
